Language,Extension
C,.c
C#,.cs
C++,.cpp
Clojure,.clj
CoffeeScript,.coffee
Coq,.v
Crystal,.cr
Dart,.dart
Elixir,.ex
F#,.fs
Go,.go
Groovy,.groovy
Haskell,.hs
Java,.java
JavaScript,.js
Kotlin,.kt
Lean,.lean
Lua,.lua
NASM,.asm
PHP,.php
Python,.py
Racket,.rkt
Ruby,.rb
Rust,.rs
Scala,.scala
Shell,.sh
SQL,.SQL
Swift,.swift
TypeScript,.ts
Agda,.agda
BF,.b
CFML,.cfm
COBOL,.cbl
Elm,.elm
Erlang,.erl
Factor,.factor
Forth,.4th
Fortran,.f
Haxe,.hx
Idris,.idr
Julia,.jl
Nim,.nim
Objective-C,.m
OCaml,.ml
PowerShell,.ps1
Prolog,.pl
PureScript,.purs
R,.r
Reason,.re
Solidity,.sol
VB.NET,.vb
